time_period,area_code,region,region_or_country_name,index,monthly_change,annual_change,rental_price,index_one_bed,monthly_change_one_bed,annual_change_one_bed,rental_price_one_bed,index_two_bed,monthly_change_two_bed,annual_change_two_bed,rental_price_two_bed,index_three_bed,monthly_change_three_bed,annual_change_three_bed,rental_price_three_bed,index_four_or_more_bed,monthly_change_four_or_more_bed,annual_change_four_or_more_bed,rental_price_four_or_more_bed,index_detached,monthly_change_detached,annual_change_detached,rental_price_detached,index_semidetached,monthly_change_semidetached,annual_change_semidetached,rental_price_semidetached,index_terraced,monthly_change_terraced,annual_change_terraced,rental_price_terraced,index_flat_maisonette,monthly_change_flat_maisonette,annual_change_flat_maisonette,rental_price_flat_maisonette,financial_year,cat_b,gap
2020-12-01T00:00:00Z,E12000008,South East,NA,91.523561,0.22140699999999999,1.002715,1070,92.687940999999995,0.20871400000000001,1.182215,742,92.082667999999998,0.209338,1.0262610000000001,956,91.055913000000004,0.245864,1.177265,1157,89.811329000000001,0.15376300000000001,0.40762100000000001,1685,90.646916000000004,0.19394400000000001,0.85277000000000003,1497,91.482387000000003,0.25152999999999998,0.89038499999999998,1177,91.039873999999998,0.229319,1.09436,1082,92.410324000000003,0.20793300000000001,1.044395,863,2020-21,654.7562068965517,415.2437931034483
2021-01-01T00:00:00Z,E12000008,South East,NA,91.69221,0.18426899999999999,1.0467839999999999,1072,92.917185000000003,0.24732899999999999,1.2667060000000001,744,92.327523999999997,0.26590999999999998,1.1118049999999999,959,91.317616999999998,0.28741,1.2711939999999999,1160,89.795665,-1.7440000000000001E-2,0.53495800000000004,1684,90.822531999999995,0.19373599999999999,0.98737399999999997,1500,91.654433999999995,0.18806600000000001,0.95262400000000003,1179,91.156029000000004,0.127586,1.047164,1083,92.62567,0.23303199999999999,1.128538,865,2020-21,654.7562068965517,417.2437931034483
2021-02-01T00:00:00Z,E12000008,South East,NA,91.765458,7.9883999999999997E-2,1.0518860000000001,1073,92.903336999999993,-1.4904000000000001E-2,1.1382159999999999,744,92.398342,7.6702999999999993E-2,1.139321,960,91.423916000000006,0.116406,1.2632650000000001,1161,90.109263999999996,0.34923599999999999,0.82888700000000004,1690,90.872589000000005,5.5114999999999997E-2,0.95694500000000005,1501,91.728143000000003,8.0420000000000005E-2,0.92571400000000004,1180,91.302105999999995,0.160249,1.1298569999999999,1085,92.637985,1.3296000000000001E-2,1.093831,865,2020-21,654.7562068965517,418.2437931034483
2021-03-01T00:00:00Z,E12000008,South East,NA,91.991639,0.246477,1.276513,1076,93.125446999999994,0.23907700000000001,1.2963880000000001,746,92.565684000000005,0.18110899999999999,1.279318,962,91.631043000000005,0.22655700000000001,1.478399,1164,90.515409000000005,0.45072499999999999,1.3653470000000001,1698,91.151041000000006,0.306421,1.302656,1506,91.973084999999998,0.26702999999999999,1.184593,1183,91.553865000000002,0.27574300000000002,1.382476,1088,92.804967000000005,0.180252,1.2183600000000001,867,2020-21,654.7562068965517,421.2437931034483
2021-04-01T00:00:00Z,E12000008,South East,NA,91.993714,2.2560000000000002E-3,1.215714,1076,93.070207999999994,-5.9317000000000002E-2,1.147937,745,92.556596999999996,-9.8169999999999993E-3,1.1643060000000001,961,91.640617000000006,1.0447E-2,1.4409320000000001,1164,90.604187999999994,9.8082000000000003E-2,1.456323,1700,91.161889000000002,1.1900000000000001E-2,1.220334,1506,91.951113000000007,-2.3890000000000002E-2,1.107227,1183,91.584721000000002,3.3702999999999997E-2,1.4015850000000001,1088,92.789366000000001,-1.6809999999999999E-2,1.099545,867,2021-22,654.7562068965517,421.2437931034483
2021-05-01T00:00:00Z,E12000008,South East,NA,92.212972,0.238341,1.2968839999999999,1078,93.194210999999996,0.13323599999999999,1.085075,746,92.721217999999993,0.17785999999999999,1.1682440000000001,963,91.907640000000001,0.291381,1.5111159999999999,1167,90.919985999999994,0.34854600000000002,1.716205,1706,91.471458999999996,0.33958300000000002,1.4293499999999999,1511,92.209074999999999,0.28054299999999999,1.2129639999999999,1186,91.808087999999998,0.243891,1.5039020000000001,1091,92.941659000000001,0.164127,1.0902559999999999,868,2021-22,654.7562068965517,423.2437931034483
2021-06-01T00:00:00Z,E12000008,South East,NA,92.488798,0.29911799999999999,1.501695,1081,93.427363999999997,0.25018000000000001,1.1905220000000001,748,92.970366999999996,0.268708,1.3529910000000001,966,92.226365000000001,0.34678799999999999,1.7890060000000001,1171,91.243756000000005,0.356105,1.9880169999999999,1712,91.848056,0.41171000000000002,1.7193419999999999,1517,92.488952999999995,0.30352499999999999,1.4516789999999999,1190,92.114868999999999,0.33415400000000001,1.7370159999999999,1095,93.140264000000002,0.21368799999999999,1.2109970000000001,870,2021-22,654.7562068965517,426.2437931034483
2021-07-01T00:00:00Z,E12000008,South East,NA,92.755884,0.28877599999999998,1.7473989999999999,1084,93.629812000000001,0.21668999999999999,1.3346659999999999,750,93.187653999999995,0.23371600000000001,1.5292140000000001,968,92.533085999999997,0.33257399999999998,2.0875149999999998,1175,91.607578000000004,0.39873700000000001,2.3565860000000001,1718,92.167429999999996,0.347719,2.0476100000000002,1522,92.761444999999995,0.294622,1.717819,1193,92.401668999999998,0.31135000000000002,1.997633,1098,93.361768999999995,0.237819,1.3944399999999999,872,2021-22,654.7562068965517,429.2437931034483
2021-08-01T00:00:00Z,E12000008,South East,NA,93.089795,0.359989,2.3413189999999999,1088,93.900893999999994,0.28952600000000001,1.8334109999999999,752,93.491895999999997,0.32648300000000002,2.0996950000000001,971,92.855338000000003,0.34825499999999998,2.6925119999999998,1179,92.082138,0.51803500000000002,3.0003139999999999,1727,92.458658999999997,0.31597900000000001,2.5684019999999999,1527,93.067014999999998,0.32941500000000001,2.343817,1197,92.783004000000005,0.41269299999999998,2.6164429999999999,1103,93.685210999999995,0.346439,1.977509,875,2021-22,654.7562068965517,433.2437931034483
2021-09-01T00:00:00Z,E12000008,South East,NA,93.305992,0.23224600000000001,2.3992170000000002,1091,93.934499000000002,3.5788E-2,1.7228699999999999,752,93.646287000000001,0.16513900000000001,2.1336010000000001,973,93.043985000000006,0.20316200000000001,2.7448570000000001,1182,92.694333999999998,0.66483599999999998,3.4030360000000002,1739,92.778170000000003,0.34557199999999999,2.8200970000000001,1533,93.258083999999997,0.20530200000000001,2.3786049999999999,1200,93.066903999999994,0.305983,2.6930130000000001,1106,93.804550000000006,0.127383,1.9470000000000001,876,2021-22,654.7562068965517,436.2437931034483
